make,option value,data-select2-id
1976 Plymouth,7313,30
Ac,7050,31
Acura,2,32
Airs,7105,33
Alfa romeo,3,34
Alle,7865,35
Aluma,5726,36
Am General,5550,37
Amc,6068,38
American General,6547,39
American Motors,5643,40
Amigo,6913,41
Amtl,8467,42
Anti,8353,43
APEX,8668,44
Aprilia,8477,45
Arctic Cat,6193,46
Argo,7939,47
Argo Atv,5825,48
Ariel,7197,49
Arising,6458,50
Armretta,7663,51
Arnc,8038,52
Aro,8837,53
Artic Cat,7770,54
Asse,6810,55
Assembled,5928,56
Assembly,6392,57
Aston martin,4,58
Asve,6043,59
Audi,5,60
Austin,5666,61
AUSTIN HEALEY,8611,62
Auto,8366,63
Back,8196,64
Baja,7426,65
Baot,8009,66
Bayh,8754,67
Beaver,8071,68
Benn,7409,69
Bentley,6,70
Big Dog,7142,71
Big Horn,6917,72
Bigt,8604,73
Bilt,6501,74
Blue Bird,5670,75
Bmbr,7734,76
Bmw,7,77
Boat,5924,78
Bombardier,5922,79
Bost,7287,80
Box,8227,81
Brau,8374,82
Bren,7780,83
Bricklin,7604,84
Buell,8317,85
Buick,8,86
Bus &amp; Coach Intl (bci),8433,87
Cadillac,9,88
Can-am,6421,89
Cann,6635,90
Car,6641,91
Cargo,5997,92
Carr,8189,93
Carry On,7135,94
Carryon,6575,95
Caterpillar,8386,96
Cf0s,8577,97
Cfmoto,7674,98
Cham,5762,99
Checker,7614,100
Cherokee,7646,101
Chevrolet,10,102
Chevy,6866,103
Chrysler,11,104
Chua,8565,105
Cimc,8147,106
Citr,5620,107
Clar,7100,108
Clark,6974,109
Clark Forklift,8835,110
Classic Roadster,5638,111
Club,7725,112
Club Car,6358,113
Club Cart,7639,114
Coach,6398,115
Coah,7988,116
Coda,5789,117
Comex,8796,118
Comp,6147,119
Conc,6341,120
Cont,6282,121
Cotc,5765,122
Coyote,7009,123
Cres,7848,124
Cros,6525,125
Crosley,7115,126
Crow,6639,127
Crui,8325,128
Cub Cadet,6901,129
Cust Tanker,7876,130
Custom,7249,131
Daewoo,12,132
Daihatsu,6919,133
Daimler Benz,6515,134
Damo,6098,135
Daoxi,5925,136
Datsun,13,137
Delorean,7968,138
Delta,7913,139
Desoto,6540,140
Diam,7427,141
Diwi,5904,142
Dlph,8563,143
Dodge,14,144
Domi,7245,145
Dool,8836,146
Ducati,6560,147
Dutc,6044,148
Eagle,5596,149
Ebbt,8555,150
El Dorado,5918,151
Eletric,7664,152
Equi,6277,153
Ez,7074,154
Ez Go,6266,155
Ezgo,7675,156
Fact,8081,157
Featherlite Mfg Inc,8519,158
Fell,5760,159
Fenx,7332,160
Ferrari,15,161
Fiat,16,162
Fisker Automotive,5619,163
Flag,7653,164
Flagstaff,6268,165
Flar,7987,166
Fleetwood,7119,167
Ford,17,168
Ford  Ford,7745,169
Ford Truck,8396,170
Forest River,7649,171
Forestriver,7549,172
Fork,7415,173
Forr,7391,174
Fountain,7004,175
Four,8690,176
Fran,8597,177
Free,6774,178
Freedom Trailer,7550,179
Freightliner,5597,180
Freu,7690,181
Frrv,8496,182
Fruehauf,6052,183
Fskr,6130,184
Ftwd,8305,185
Funfinder,6914,186
Fwin,6347,187
Gatormade,7551,188
Gear,7718,189
Gen,7606,190
Gene,7576,191
Genesis,18,192
Genuine Scooter Co.,8158,193
Geo,5548,194
Global Electric Motors,6343,195
Gm Ev1,6804,196
Gmc,19,197
Golf,6811,198
Good,8181,199
Gran,5988,200
Gravely,7232,201
Grea,7505,202
Guan,6251,203
Gulf Stream,7864,204
H&amp;h,7558,205
Harley Dav,8251,206
Harley-davidson,5692,207
