MakeName,ModelVal,ModelName
Select make,28186,Sprinter
Select make,22747,Travel Tra
1976 Plymouth,23657,Grand Fury
Ac,22521,Cobra
Acura,18641,1.6 El
Acura,19875,1.6el
Acura,20178,1.6el Se
Acura,23051,1.7el
Acura,16595,2.2cl
Acura,19415,2.3 Cl
Acura,2,2.3cl
Acura,16701,2.5 Tl
Acura,3,2.5tl
Acura,4,3.0cl
Acura,22245,3.2 Cl
Acura,15191,3.2 Tl
Acura,5,3.2cl
Acura,15495,3.2cl Type
Acura,6,3.2tl
Acura,15274,3.5 Rl
Acura,7,3.5rl
Acura,15947,3.5rl Se
Acura,3373,Csx
Acura,15907,Csx Techno
Acura,28439,Csx Type S
Acura,8,Ilx
Acura,16327,Ilx Specia
Acura,9,Integra
Acura,10,Legend
Acura,11,Mdx
Acura,16007,Mdx Advanc
Acura,15531,Mdx Sport
Acura,23528,Mdx Tech
Acura,15136,Mdx Tourin
Acura,12,Nsx
Acura,19385,Nsx T
Acura,13,Rdx
Acura,16659,Rdx Advanc
Acura,16269,Rdx Base
Acura,15300,Rdx Techno
Acura,14,Rl
Acura,15,Rlx
Acura,19762,Rlx Tech-a
Acura,16,Rsx
Acura,17,Slx
Acura,20438,Tires
Acura,18,Tl
Acura,15968,Tl Type S
Acura,19,Tlx
Acura,26566,Tlx Elite
Acura,22190,Tlx Tech/t
Acura,20,Tsx
Acura,21,Vigor
Acura,22,Zdx
Acura,18310,Zdx Techno
Airs,28186,Sprinter
Airs,22747,Travel Tra
Alfa romeo,17155,164
Alfa romeo,2090,4c
Alfa romeo,16185,All Models
Alfa romeo,29391,Convertible
Alfa romeo,1902,Giulia
Alfa romeo,24939,Gt
Alfa romeo,29760,GTZ 2000
Alfa romeo,28406,Milano
Alfa romeo,23205,Spider
Alfa romeo,3456,Stelvio
Alfa romeo,27601,Stelvio Qu
Alfa romeo,17981,Stelvio Sp
Alfa romeo,16286,Stelvio Ti
Alfa romeo,26868,Trailer
Alfa romeo,23,Veloce
Alfa romeo,17144,Veloce 200
Alle,26229,Motorhome
Aluma,16712,Flatbed
Am General,15494,Hummer
Am General,30077,M998-A1
Amc,24264,Eagle Wagon
Amc,19871,Ram
Amc,18211,Spirit
American General,22254,H1
American General,22200,H1 Hmco
American General,20274,H1 Hmcs
American General,20390,Mv-1
American Motors,18608,All Models
American Motors,25687,Boxvan
American Motors,28299,Cherokee
American Motors,27152,Eagle
American Motors,23687,Javelin
American Motors,16308,Jeep Chero
American Motors,19630,Scrambler
American Motors,24907,Vpg Handic
Amigo,21898,International Scoote
Amtl,28866,At7500d
Anti,28356,Starcraft
APEX,29908,NANO 213 RDS
Aprilia,28930,Motorcycle
Arctic Cat,26272,246cc
Arctic Cat,18793,Atv
Arctic Cat,22314,Snowmobile
Arctic Cat,20493,Zr8000
Argo,27487,Avenger
Argo,26585,V88823
Argo Atv,17211,750hc1
Ariel,23168,Atom
Arising,19910,Enclosed
Armretta,25225,Kit
Arnc,26955,At9010
Aro,30631,Utility Vs
Artic Cat,25905,2000lt
Artic Cat,25782,Quad
Asse,21475,Kitcar
Assembled,17624,Flatbed
Assembly,29810,Kitcar
Assembly,19622,Vehicle
Aston martin,17795,All Models
Aston martin,2825,Db11
Aston martin,23552,Db11 Amr
Aston martin,27906,Db7
Aston martin,24,Db9
Aston martin,3165,Rapide
Aston martin,11476,V12
Aston martin,25,V8
Aston martin,26,V8 vantage
Aston martin,2964,Vanquish
Aston martin,3214,Vantage
Aston martin,3033,Virage
Asve,18085,34 Coupe
Audi,25084,100
Audi,24957,200
Audi,30370,4000
Audi,20144,5000
Audi,23048,90
Audi,27,A3
Audi,16329,A3 2
Audi,19782,A3 2.0t Qu
Audi,23685,A3 Quattro
Audi,18026,A3 S-line
Audi,28,A4
Audi,15818,A4 2
Audi,16101,A4 2.0t
Audi,29,A4 allroad
Audi,16773,A4 S-line
Audi,30,A5
Audi,15609,A5 Premium
Audi,31,A6
Audi,17868,A6 3
Audi,16325,A6 S-line
Audi,32,A7
Audi,33,A8
Audi,23425,A8 L
Audi,16977,All Other
Audi,15611,Allroad
Audi,21944,Cabriolet
Audi,29082,Fox
Audi,17274,New S4
Audi,17740,New S4 Qua
Audi,34,Q3
Audi,15733,Q3 Premium
Audi,16825,Q3 Prestig
